states,scores
000100000000000000000000000000000000000000,"[0.17029, 0, 0, 0, 0, 0, 0]"
200100000010000000000000000000000000000000,"[0.15825, 0, 0, 0, 0, 0, 0]"
200100020010000001000000000000000000000000,"[-1, -1, -1, 0.14357, -1, -1, -1]"
020100000010000000000000000000000000000000,"[0.0727, 0, 0, 0, 0, 0, 0]"
220100000010000001000000000000000000000000,"[-1, -1, -1, 0.08753, -1, -1, -1]"
100000000000000000000000000000000000000000,"[0.2287, 0, 0, 0, 0, 0, 0]"
100100020000000000000000000000000000000000,"[0.17854, 0, 0, 0, 0, 0, 0]"
102100020100000000000000000000000000000000,"[0.03704, 0, 0, 0, 0, 0, 0]"
112120020100000000000000000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
112120020110002000000000000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
112120020110002000000200000010000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
112120020110002010000200000010000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
112120022110002010000201000010000002000000,"[0, -1, 0, 0, 0, 0, 0]"
200100100000000000000000000000000000000000,"[0.16518, 0, 0, 0, 0, 0, 0]"
210100120000000000000000000000000000000000,"[0.04463, 0, 0, 0, 0, 0, 0]"
210100120000002000000100000000000000000000,"[0, 0.03835, 0, 0, 0, 0, 0]"
210110120000002000000100000020000000000000,"[-1, -1, -1, -1, -1, -1, -1]"
210110122010002000000100000020000000000000,"[-1, -1, 0.01726, 0, 0, 0, 0]"
002100000010000000000000000000000000000000,"[0.16594, 0, 0, 0, 0, 0, 0]"
102120000010000000000000000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
102120020010000001000000000000000000000000,"[-1, -1, 0, 0, 0, 0, 0]"
000100000020000001000000000000000000000000,"[0.07185, 0, 0, 0, 0, 0, 0]"
200100000020000001000000100000000000000000,"[0.06313, 0, 0, 0, 0, 0, 0]"
200100020020001001000000100000000000000000,"[0.06375, 0, 0, 0, 0, 0, 0]"
200100020020001001000200100000010000000000,"[-1, -1, -1, 0.04841, 0, 0, -1]"
001000000000000000000000000000000000000000,"[0.12609, 0, 0, 0, 0, 0, 0]"
001100000200000000000000000000000000000000,"[-0.43215, 0.0509, 0, 0, 0, 0, 0]"
201100010200000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201110010200002000000000000000000000000000,"[0, 0, 0, -1, 0, 0, 0]"
200100000010000002000000100000000000000000,"[0.12577, 0, 0, 0, 0, 0, 0]"
200100020010000002000000100000010000000000,"[0.08219, 0, 0, 0, 0, 0, 0]"
200100020010002002000100100000010000000000,"[0.04976, 0, 0, 0, 0, 0, 0]"
200100020010002002000100100020010000001000,"[0.0303, 0, 0, 0, 0, 0, 0]"
201100220010002002000100100020010000001000,"[0, 0, 0, 0, 0, 0, 0]"
201101220010002002000100100020010002001000,"[0, -1, 0, 0, 0, 0, 0]"
100100020010002000000000000000000000000000,"[0.14772, 0, 0, 0, 0, 0, 0]"
100100020010002000000200000010000000000000,"[0.14625, 0, 0, 0, 0, 0, 0]"
110100020010002000000200000010000002000000,"[0, 0, 0.16742, 0, 0, 0, 0]"
110101220010002000000200000010000002000000,"[0, 0.0119, 0, -1, 0, 0, 0]"
110111222010002000000200000010000002000000,"[0, -1, 0, 0, 0, 0, 0]"
000010000000000000000000000000000000000000,"[0.12132, 0, 0, 0, 0, 0, 0]"
200110000000000000000000000000000000000000,"[-0.43215, -0.4381, 0.10079, 0, 0, 0, 0]"
201110020000000000000000000000000000000000,"[-0.4881, -1, -1, 0, 0, 0, -1]"
200100120010002002000100100020010000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201100120010022002000100100020010000000000,"[0, 0, 0, 0, 0, 0, 0]"
201100120110022002000100100020010002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221110120110022002000100100020010002000000,"[0, 0, -1, 0, 0, 0, 0]"
201100000000000000000000000000000000000000,"[-0.42618, 0.11629, 0, 0, 0, 0, 0]"
201100020000001000000000000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201110020000001000000200000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
200110020010000000000000000000000000000000,"[0.51038, 0, 0, 0, 0, 0, 0]"
200110020010002001000000000000000000000000,"[1, 0, 0, 0, 0, 0, -1]"
200112000010000000000000000000000000000000,"[0.04948, 0, 0, 0, 0, 0, 0]"
200112020010000001000000000000000000000000,"[0, -1, 0, 0.03153, 0, 0, 0]"
200102020020001001000100100000000000000000,"[0.01726, 0, 0, 0, 0, 0, 0]"
200102020020001001000100100010020000000000,"[0, 0, 0, 0, 0, -1, 0]"
201100020010000002000000100000000000000000,"[0.47373, 0, 0, 0, 0, 0, 0]"
201100020210001002000000100000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201100120210001002000200100000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
221100121210001002000200100000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
221120121210001012000200100000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
221120121210001012000201100020000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
221120121210001112000201100020000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221120121210001112000221100020010002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221120121210001112000221100022110002000000,"[0, -1, 0, 0, 0, 0, 0]"
010000000000000000000000000000000000000000,"[0.1945, 0, 0, 0, 0, 0, 0]"
210100000000000000000000000000000000000000,"[0.11925, 0, 0, 0, 0, 0, 0]"
210100000020000001000000000000000000000000,"[0.04363, 0, 0, 0, 0, 0, 0]"
210100021020000001000000000000000000000000,"[0.02769, 0, 0, 0, 0, 0, 0]"
210100021020002001000100000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
210110021020002001000100000020000000000000,"[0, 0, 0.01785, 0, 0, 0, 0]"
210110021020002101000100000020000002000000,"[0, -1, 0, 0, 0, 0, 0]"
201100020010000001000000200000000000000000,"[0.3627, 0, 0, 0, 0, 0, 0]"
201110020210000001000000200000000000000000,"[-1, -1, 0, 0, 0, 0, 0]"
000100200020000001000000100000000000000000,"[0.01726, 0, 0, 0, 0, 0, 0]"
200100200020010001000000100000000000000000,"[0.01785, 0, 0, 0, 0, 0, 0]"
200100220020011001000000100000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
200110220020011001000200100000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201110220020011001000200100020000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
202100000010000001000000000000000000000000,"[-1, -1, -1, 0.1555, -1, 0, -1]"
200100020010001001000000200000000000000000,"[0.1435, 0, 0, 0, 0, 0, 0]"
200100020010001001000200200010000000000000,"[0.15274, 0, 0, 0, 0, 0, 0]"
201100020010001001000200200010000002000000,"[0, 0.13036, 0, 0, 0, 0, 0]"
221100021010001001000200200010000002000000,"[0, 0.14032, 0, 0, 0, 0, 0]"
221100021010001201000210200010000002000000,"[0, -0.3041, -1, -0.04217, -0.43215, 0.15492, 0]"
221100021010001201000210200012010002000000,"[0, 0, 0, 0.04868, 0, 0, 0]"
221100221110001201000210200012010002000000,"[0, -1, 0.03179, 0, 0, 0, -1]"
210100120010002000000100000020000000000000,"[0.02985, 0, 0, 0, 0, 0, 0]"
210110120010002000000100000020000002000000,"[0, -1, -0.42576, -1, -1, -1, 0]"
200100010000000000000000000000000000000000,"[0.11944, 0, 0, 0, 0, 0, 0]"
200100010010002000000000000000000000000000,"[0.18407, 0, 0, 0, 0, 0, 0]"
200100010010002001000200000000000000000000,"[0, 0, 0, 0.08806, 0, 0, 0]"
200101020010001001000200200010000002000000,"[0, 0, 0.08069, 0, 0, 0, 0]"
220101120010001001000200200010000002000000,"[0, -1, -1, -1, 0.01967, 0, 0]"
000100200010000000000000000000000000000000,"[0.11817, 0, 0, 0, 0, 0, 0]"
200100200010000001000000000000000000000000,"[-1, -1, -1, 0.06175, -1, -1, -1]"
000120000010000000000000000000000000000000,"[0.07624, 0, 0, 0, 0, 0, 0]"
200120000010000001000000000000000000000000,"[-1, -1, -1, 0.04835, -1, -1, -1]"
202110000010000000000000000000000000000000,"[0.10031, 0, 0, 0, 0, 0, 0]"
202110020010000001000000000000000000000000,"[-1, -1, -1, 0.08438, 0, -1, -1]"
202110020010001001000000200000000000000000,"[0.07891, 0, 0, 0, 0, 0, 0]"
202110020011001001000000200000020000000000,"[0.02351, 0, 0, 0, 0, 0, 0]"
202110020111001001000200200000020000000000,"[0.02562, 0, 0, 0, 0, 0, 0]"
202111020111001001000200200020020000000000,"[0.01726, 0, 0, 0, -1, 0, 0]"
202111020111001001100200200020020002000000,"[0, -0.42768, -1, -0.65157, -1, -0.4381, -0.42694]"
202111020111001011100200200020020002002000,"[0, -1, -1, 0, -1, -1, -1]"
202100010010000000000000000000000000000000,"[0.0466, 0, 0, 0, 0, 0, 0]"
202100010110002000000000000000000000000000,"[0.04192, 0, 0, 0, 0, 0, 0]"
212100010110002000000200000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
212101010110002000000200000020000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000000100000000000000000000000000000000000,"[0.28475, 0, 0, 0, 0, 0, 0]"
200100120010000000000000000000000000000000,"[0.11718, 0, 0, 0, 0, 0, 0]"
200100120010002000000100000000000000000000,"[0.102, 0, 0, 0, 0, 0, 0]"
220100120010002001000100000000000000000000,"[0, 0, -1, 0, 0, -1, 0]"
210100020010000000000000000000000000000000,"[0.09511, 0, 0, 0, 0, 0, 0]"
210100020010002000000100000000000000000000,"[0.07845, 0, 0, 0, 0, 0, 0]"
211100020010002000000100000020000000000000,"[0, 0, 0, 0, 0.06377, 0, 0]"
211100020010002001000100000020000002000000,"[0, -1, -1, -1, -1, -1, -1]"
211100022110002001000100000020000002000000,"[0, -0.42479, -1, 0.02083, 0, 0, 0]"
211102022110002011000100000020000002000000,"[0, 0.02376, 0, 0, -1, -1, -1]"
200100020010001000000000000000000000000000,"[0.16374, 0, 0, 0, 0, 0, 0]"
200100020010001001000200000000000000000000,"[-1, -1, -1, 0.19142, -1, -1, -1]"
001120000000000000000000000000000000000000,"[0.08951, 0, 0, 0, 0, 0, 0]"
201120000010000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201120020010000001000000000000000000000000,"[-1, -1, -1, 0.05384, -1, -1, -1]"
200101020010001001000200200000000000000000,"[-0.4381, -0.4241, 0.11368, 0, 0, 0, 0]"
200111020010001001000200200020000000000000,"[-1, -1, -1, -1, -1, -1, -1]"
110100122010002000000200000010000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
110100122010002201000200000010000002000000,"[0, -1, 0, 0, 0, 0, 0]"
200110020010001001000200200000000000000000,"[-0.4261, -0.41518, 0.07037, 0, 0, 0, 0]"
201110020010001001000200200020000000000000,"[-1, -1, -1, -1, -1, -1, -1]"
200100020010001001000200200010010002000000,"[0, 0.11531, 0, 0, 0, 0, 0]"
220100021010001001000200200010010002000000,"[0, 0.10467, 0, 0, 0, 0, 0]"
220100021010001201000210200010010002000000,"[0, 0.08612, 0, 0, 0, 0, 0]"
