date,time,total_games,wins,draws,avg_time
07/07/2023,06:42,0,0,0,0
07/04/2023,06:52,100,4,0,2.5
07/04/2023,06:56,200,7,0,2.5
07/04/2023,07:00,300,4,0,2.3
07/04/2023,07:04,400,9,0,2.6
07/04/2023,07:09,500,5,0,2.7
07/04/2023,07:13,600,9,0,2.5
07/04/2023,07:18,700,6,0,3.0
07/04/2023,07:23,800,4,0,2.9
07/04/2023,07:28,900,1,0,3.0
07/04/2023,07:32,1000,4,0,2.9
07/04/2023,07:37,1100,6,0,3.0
07/04/2023,07:42,1200,5,0,2.7
07/04/2023,07:46,1300,4,0,2.8
07/04/2023,07:51,1400,5,0,2.9
07/04/2023,07:56,1500,3,0,2.7
07/04/2023,08:01,1600,2,0,3.1
07/04/2023,08:06,1700,5,0,2.9
07/04/2023,08:11,1800,5,0,3.0
07/04/2023,08:16,1900,11,0,3.1
07/04/2023,08:21,2000,3,0,3.1
07/04/2023,08:26,2100,10,0,2.8
07/04/2023,08:31,2200,3,0,3.1
07/04/2023,08:36,2300,10,0,3.2
07/04/2023,08:41,2400,3,0,3.0
07/04/2023,08:46,2500,5,0,3.1
07/04/2023,08:52,2600,6,0,3.2
07/04/2023,08:57,2700,5,0,3.0
07/04/2023,09:02,2800,5,0,3.1
07/04/2023,09:07,2900,4,0,3.1
07/04/2023,09:12,3000,2,0,2.9
07/04/2023,09:17,3100,7,0,3.2
07/04/2023,09:22,3200,6,0,3.0
07/04/2023,09:28,3300,9,0,3.4
07/04/2023,09:33,3400,7,0,3.0
07/04/2023,09:38,3500,6,0,3.0
07/04/2023,10:18,3600,3,0,24.3
07/04/2023,10:23,3700,1,0,2.8
07/04/2023,10:43,3800,5,0,12.1
07/04/2023,10:49,3900,4,0,3.4
07/04/2023,10:54,4000,10,0,2.9
07/04/2023,10:59,4100,6,0,3.3
07/04/2023,11:04,4200,6,0,2.8
07/04/2023,11:09,4300,1,0,3.2
07/04/2023,11:14,4400,5,0,3.1
07/04/2023,11:19,4500,1,0,3.1
07/04/2023,11:24,4600,6,0,3.0
07/04/2023,11:30,4700,3,0,3.2
07/04/2023,11:35,4800,5,0,3.1
07/04/2023,11:40,4900,3,0,2.9
07/04/2023,11:56,5000,6,0,9.5
07/04/2023,12:04,5100,9,0,5.4
07/04/2023,12:09,5200,7,0,2.8
07/04/2023,12:14,5300,4,0,3.0
07/04/2023,12:19,5400,3,0,3.0
07/04/2023,12:24,5500,4,0,3.0
07/04/2023,12:29,5600,5,0,2.9
07/04/2023,12:34,5700,10,0,3.1
07/04/2023,12:39,5800,7,0,3.2
07/04/2023,12:44,5900,2,0,3.0
07/04/2023,12:49,6000,3,0,2.9
07/04/2023,12:54,6100,5,0,3.0
07/04/2023,12:59,6200,5,0,2.8
07/04/2023,13:04,6300,5,0,3.0
07/04/2023,13:09,6400,3,0,2.9
07/04/2023,13:14,6500,6,0,3.2
07/04/2023,13:19,6600,5,0,2.9
07/04/2023,13:24,6700,5,0,3.2
07/04/2023,13:29,6800,4,0,3.0
07/04/2023,13:34,6900,7,0,3.1
07/04/2023,13:39,7000,10,0,2.9
07/04/2023,13:44,7100,9,0,3.1
07/04/2023,13:49,7200,7,0,2.9
07/04/2023,13:54,7300,10,0,3.0
07/04/2023,13:59,7400,3,0,3.1
07/04/2023,14:04,7500,4,0,3.0
07/04/2023,14:10,7600,5,0,3.1
07/04/2023,14:14,7700,3,0,2.9
07/04/2023,14:20,7800,5,0,3.1
07/04/2023,14:25,7900,4,0,3.0
07/04/2023,14:30,8000,5,0,3.1
07/04/2023,14:35,8100,5,0,3.1
07/04/2023,14:40,8200,5,0,3.0
07/04/2023,14:46,8300,6,0,3.5
07/04/2023,14:51,8400,5,0,3.0
07/04/2023,14:56,8500,3,0,3.0
07/04/2023,15:01,8600,6,0,3.0
07/04/2023,15:06,8700,6,0,3.1
07/04/2023,15:11,8800,5,0,2.9
07/04/2023,15:16,8900,6,0,3.0
07/04/2023,15:21,9000,2,0,2.9
07/04/2023,15:26,9100,8,0,2.9
